canonical_name_en,canonical_name_he,category,muscle_group_primary,equipment,is_active
Shrug (Smith Machine),הרמת כתפיים במכונת סמית׳,back,Traps,machine,True
Single Arm Cable Crossover,קרוסאובר בכבל ביד אחת,chest,Chest,machine,True
Single Arm Cable Row,חתירה בכבל ביד אחת,back,Upper Back,machine,True
Single Arm Curl (Cable),כפיפת מרפק בכבל ביד אחת,arms,Biceps,machine,True
Single Arm Lat Pulldown,משיכת פולי עליון ביד אחת,back,Lats,machine,True
Single Arm Lateral Raise (Cable),הרחקת כתף לצד בכבל ביד אחת,shoulders,Shoulders,machine,True
Single Arm Triceps Pushdown (Cable),פשיטת מרפק בכבל ביד אחת,arms,Triceps,machine,True
Single Leg Extensions,פשיטת ברך במכונה ברגל אחת,legs,Quadriceps,machine,True
Single Leg Press (Machine),לחיצת רגל במכונה (רגל אחת),legs,Quadriceps,machine,True
Seated Chest Flys (Cable),פרפר חזה בישיבה בכבלים,chest,Chest,machine,True
Seated Dip Machine,פשיטת מרפקים במכונת מקבילים בישיבה,arms,Triceps,machine,True
Seated Leg Curl (Machine),כפיפת ברכיים בישיבה במכונה,legs,Hamstrings,machine,True
Seated Row (Machine),חתירה בישיבה במכונה,back,Upper Back,machine,True
Seated Shoulder Press (Machine),לחיצת כתפיים בישיבה במכונה,shoulders,Shoulders,machine,True
Seated Triceps Press,לחיצת טרייספס בישיבה,arms,Triceps,machine,True
Shoulder Press (Machine Plates),לחיצת כתפיים במכונה טעונת פלטות,shoulders,Shoulders,machine,True
Shrug (Cable),הרמת כתפיים בכבל,back,Traps,machine,True
Shrug (Machine),הרמת כתפיים במכונה,back,Traps,machine,True
Reverse Grip Lat Pulldown (Cable),משיכת פולי עליון בכבל באחיזה הפוכה,back,Lats,machine,True
Reverse Hyperextension,היפראקסטנשן הפוך,legs,Glutes,machine,True
Rope Cable Curl,כפיפת מרפקים בכבל עם חבל,arms,Biceps,machine,True
Rope Straight Arm Pulldown,משיכת פולי עליון בידיים ישרות עם חבל,back,Lats,machine,True
Rowing Machine,מכשיר חתירה,cardio,Cardio,machine,True
Seated Cable Row - Bar Grip,חתירה בישיבה בכבל באחיזת מוט,back,Upper Back,machine,True
Seated Cable Row - Bar Wide Grip,חתירה בישיבה בכבל באחיזה רחבה,back,Upper Back,machine,True
Seated Cable Row - V Grip (Cable),חתירה בישיבה בכבל באחיזת V,back,Upper Back,machine,True
Seated Calf Raise,עליות עקב בישיבה,legs,Calves,machine,True
Pull Up,מתח,back,Lats,machine,True
Pull Up (Assisted),מתח בסיוע,back,Lats,machine,True
Pull Up (Weighted),מתח עם משקל,back,Lats,machine,True
Pullover (Machine),פולאובר במכונה,back,Lats,machine,True
Rear Delt Reverse Fly (Cable),פרפר הפוך לכתף אחורית בכבל,shoulders,Shoulders,machine,True
Rear Delt Reverse Fly (Machine),פרפר הפוך לכתף אחורית במכונה,shoulders,Shoulders,machine,True
Rear Kick (Machine),בעיטת ישבן לאחור במכונה,legs,Glutes,machine,True
Reverse Curl (Cable),כפיפת מרפקים באחיזה הפוכה בכבל,arms,Biceps,machine,True
Reverse Fly Single Arm (Cable),פרפר הפוך בכבל ביד אחת,shoulders,Shoulders,machine,True
Leg Raise Parallel Bars,הרמת רגליים במקבילים,core,Abdominals,machine,True
Low Cable Fly Crossovers,קרוסאובר בכבלים מלמטה,chest,Chest,machine,True
Lying Leg Curl (Machine),כפיפת ברכיים בשכיבה במכונה,legs,Hamstrings,machine,True
Muscle Up,מאסל־אפ,full_body,Full Body,machine,True
Overhead Curl (Cable),כפיפת מרפקים מעל הראש בכבל,arms,Biceps,machine,True
Overhead Press (Smith Machine),לחיצת כתפיים מעל הראש במכונת סמית׳,shoulders,Shoulders,machine,True
Overhead Triceps Extension (Cable),פשיטת מרפקים מעל הראש בכבל,arms,Triceps,machine,True
Pendulum Squat (Machine),סקוואט מטוטלת במכונה,legs,Quadriceps,machine,True
Preacher Curl (Machine),כפיפת מרפקים על ספסל כומר במכונה,arms,Biceps,machine,True
Single Leg Standing Calf Raise (Machine),עליית עקב בעמידה על רגל אחת במכונה,legs,Calves,machine,True
Ski Erg,מכשיר סקי ארגומטרי (SkiErg),cardio,Cardio,machine,True
Squat (Machine),סקוואט במכונה,legs,Quadriceps,machine,True
Squat (Smith Machine),סקוואט במכונת סמית׳,legs,Quadriceps,machine,True
Squat Row,סקוואט עם חתירה,full_body,Full Body,machine,True
Standing Cable Glute Kickbacks,בעיטת ישבן לאחור בעמידה בכבל,legs,Glutes,machine,True
Standing Calf Raise (Machine),עליות עקב בעמידה במכונה,legs,Calves,machine,True
Standing Calf Raise (Smith),עליות עקב בעמידה במכונת סמית׳,legs,Calves,machine,True
Standing Leg Curls,כפיפת ברך בעמידה,legs,Hamstrings,machine,True
Sternum Pull up (Gironda),מתח לחזה בסגנון ג׳ירונדה,back,Lats,machine,True
Straight Arm Lat Pulldown (Cable),משיכת פולי עליון בכבל בידיים ישרות,back,Lats,machine,True
Triceps Extension (Cable),פשיטת מרפקים בכבל,arms,Triceps,machine,True
Triceps Extension (Machine),פשיטת מרפקים במכונה,arms,Triceps,machine,True
Triceps Kickback (Cable),פשיטת מרפק לאחור בכבל,arms,Triceps,machine,True
Triceps Pressdown,פשיטת מרפקים בפולי עליון,arms,Triceps,machine,True
Triceps Pushdown,פשיטת מרפקים בכבל כלפי מטה,arms,Triceps,machine,True
Triceps Rope Pushdown,פשיטת מרפקים בכבל עם חבל,arms,Triceps,machine,True
Upright Row (Cable),חתירה אנכית בכבל,shoulders,Shoulders,machine,True
Vertical Traction (Machine),משיכה אנכית במכונה,back,Lats,machine,True
Wide Pull Up,מתח באחיזה רחבה,back,Lats,machine,True
Wrist Roller,גלגלת לאמות ולשורש כף היד,arms,Forearms,machine,True
Kneeling Pulldown (band),משיכת גומייה מלמעלה בכריעה,back,Lats,machine,True
Lat Pulldown - Close Grip (Cable),משיכת פולי עליון בכבל באחיזה צרה,back,Lats,machine,True
Lat Pulldown (Cable),משיכת פולי עליון בכבל,back,Lats,machine,True
Lat Pulldown (Machine),משיכת פולי עליון במכונה,back,Lats,machine,True
Lateral Raise (Cable),הרחקת כתפיים לצדדים בכבל,shoulders,Shoulders,machine,True
Lateral Raise (Machine),הרחקת כתפיים לצדדים במכונה,shoulders,Shoulders,machine,True
Leg Extension (Machine),פשיטת ברכיים במכונה,legs,Quadriceps,machine,True
Leg Press (Machine),לחיצת רגליים במכונה,legs,Quadriceps,machine,True
Leg Press Horizontal (Machine),לחיצת רגליים אופקית במכונה,legs,Quadriceps,machine,True
Incline Bench Press (Smith Machine),לחיצת חזה בשיפוע חיובי במכונת סמית׳,chest,Chest,machine,True
Incline Chest Press (Machine),לחיצת חזה בשיפוע חיובי במכונה,chest,Chest,machine,True
Inverted Row,חתירה הפוכה,back,Upper Back,machine,True
Iso-Lateral Chest Press (Machine),לחיצת חזה איזו־לטרלית במכונה,chest,Chest,machine,True
Iso-Lateral High Row (Machine),חתירה גבוהה איזו־לטרלית במכונה,back,Lats,machine,True
Iso-Lateral Low Row,חתירה נמוכה איזו־לטרלית,back,Upper Back,machine,True
Iso-Lateral Row (Machine),חתירה איזו־לטרלית במכונה,back,Upper Back,machine,True
Kipping Pull Up,מתח קיפינג,back,Lats,machine,True
Knee Raise Parallel Bars,הרמת ברכיים במקבילים,core,Abdominals,machine,True
Front Raise (Cable),הרמת ידיים לפנים בכבל,shoulders,Shoulders,machine,True
Glute Kickback (Machine),בעיטת ישבן לאחור במכונה,legs,Glutes,machine,True
Hack Squat (Machine),האק סקוואט במכונה,legs,Quadriceps,machine,True
Hammer Curl (Cable),כפיפת מרפקים באחיזת פטיש בכבל,arms,Biceps,machine,True
Hip Abduction (Machine),הרחקת ירכיים במכונה,legs,Abductors,machine,True
Hip Adduction (Machine),קירוב ירכיים במכונה,legs,Adductors,machine,True
Hip Thrust (Machine),היפ תראסט במכונה,legs,Glutes,machine,True
Hip Thrust (Smith Machine),היפ תראסט במכונת סמית׳,legs,Glutes,machine,True
Chin Up (Assisted),מתח באחיזה תחתית בסיוע,back,Lats,machine,True
Chin Up (Weighted),מתח באחיזה תחתית עם משקל,back,Lats,machine,True
Crunch (Machine),כפיפות בטן במכונה,core,Abdominals,machine,True
Deadlift (Smith Machine),דדליפט במכונת סמית׳,legs,Glutes,machine,True
Decline Bench Press (Machine),לחיצת חזה בשיפוע שלילי במכונה,chest,Chest,machine,True
Decline Bench Press (Smith Machine),לחיצת חזה בשיפוע שלילי במכונת סמית׳,chest,Chest,machine,True
Face Pull,משיכת חבל לפנים (פייס פול),shoulders,Shoulders,machine,True
Cable Twist (Up to down),סיבוב גו בכבל מלמעלה למטה,core,Abdominals,machine,True
Calf Extension (Machine),עליות עקב במכונה,legs,Calves,machine,True
Calf Press (Machine),לחיצת תאומים במכונה,legs,Calves,machine,True
Chest Dip,מקבילים בדגש חזה,chest,Chest,machine,True
Chest Dip (Assisted),מקבילים בדגש חזה בסיוע,chest,Chest,machine,True
Chest Dip (Weighted),מקבילים בדגש חזה עם משקל,chest,Chest,machine,True
Chest Fly (Machine),פרפר חזה במכונה,chest,Chest,machine,True
Chest Press (Machine),לחיצת חזה במכונה,chest,Chest,machine,True
Chin Up,מתח באחיזה תחתית,back,Lats,machine,True
