canonical_name_en,canonical_name_he,category,muscle_group_primary,equipment,is_active
Ab Scissors,מספריים לבטן,core,Abdominals,none,true
Aerobics,אירובי,cardio,Cardio,none,true
Bicycle Crunch,כפיפות בטן באופניים,core,Abdominals,none,true
Bicycle Crunch Raised Legs,כפיפות בטן באופניים עם רגליים מורמות,core,Abdominals,none,true
Bird Dog,הרמת יד ורגל נגדיות בעמידת שש (Bird Dog),legs,Glutes,none,true
Boxing,אגרוף,cardio,Cardio,none,true
Burpee,ברפי,full_body,Full Body,none,true
Burpee Broad Jumps,ברפי עם קפיצה למרחק,full_body,Full Body,none,true
Burpee Over the Bar,ברפי בקפיצה מעל המוט,full_body,Full Body,none,true
Clap Push Ups,שכיבות סמיכה עם מחיאת כף,chest,Chest,none,true
Climbing,טיפוס,cardio,Cardio,none,true
Crunch,כפיפות בטן,core,Abdominals,none,true
Crunch (Weighted),כפיפות בטן עם משקל,core,Abdominals,none,true
Dead Bug,הורדת יד ורגל נגדיות בשכיבה (Dead Bug),core,Abdominals,none,true
Dead Hang,תלייה סטטית,back,Upper Back,none,true
Decline Crunch,כפיפות בטן בשיפוע שלילי,core,Abdominals,none,true
Decline Crunch (Weighted),כפיפות בטן בשיפוע שלילי עם משקל,core,Abdominals,none,true
Diamond Push Up,שכיבות סמיכה יהלום,arms,Triceps,none,true
Downward Dog,כלב מביט מטה,full_body,Full Body,none,true
Dragon Flag,דראגון פלאג,core,Abdominals,none,true
Dragonfly,דראגון פליי,core,Abdominals,none,true
Elbow to Knee,מרפק לברך,core,Abdominals,none,true
Fire Hydrants,הרחקת ירך בעמידת שש (Fire Hydrant),legs,Glutes,none,true
Floor Triceps Dip,פשיטת מרפקים לאחור על הרצפה,arms,Triceps,none,true
Flutter Kicks,בעיטות רפרוף,core,Abdominals,none,true
Frog Jumps,קפיצות צפרדע,legs,Quadriceps,none,true
Front Lever Hold,החזקת פרונט לבר,full_body,Full Body,none,true
Front Lever Raise,עליות פרונט לבר,full_body,Full Body,none,true
Glute Bridge,גשר ישבן,legs,Glutes,none,true
Glute Kickback on Floor,בעיטת ישבן לאחור בעמידת שש,legs,Glutes,none,true
Handstand Hold,החזקת עמידת ידיים,full_body,Full Body,none,true
Handstand Push Up,שכיבות סמיכה בעמידת ידיים,shoulders,Shoulders,none,true
Hanging Knee Raise,הרמת ברכיים בתלייה,core,Abdominals,none,true
Hanging Leg Raise,הרמת רגליים בתלייה,core,Abdominals,none,true
Heel Taps,נגיעות עקב,core,Abdominals,none,true
High Knee Skips,דילוגים עם ברכיים גבוהות,full_body,Full Body,none,true
High Knees,ריצה במקום עם ברכיים גבוהות,full_body,Full Body,none,true
HIIT,אימון אינטרוולים בעצימות גבוהה (HIIT),cardio,Cardio,none,true
Hiking,הליכה בשטח,cardio,Cardio,none,true
Hip Thrust,היפ תראסט,legs,Glutes,none,true
Hollow Rock,הולו רוק,core,Abdominals,none,true
Incline Push Ups,שכיבות סמיכה בשיפוע חיובי,chest,Chest,none,true
Jackknife Sit Up,כפיפות בטן ג׳קנייף,core,Abdominals,none,true
Jump Squat,סקוואט בקפיצה,legs,Quadriceps,none,true
Jumping Jack,קפיצות פישוק,full_body,Full Body,none,true
Jumping Lunge,לאנג׳ בקפיצה,legs,Quadriceps,none,true
Kneeling Push Up,שכיבות סמיכה על הברכיים,chest,Chest,none,true
L-Sit Hold,החזקת ישיבת L,core,Abdominals,none,true
Lateral Leg Raises,הרמות רגל לצד,legs,Glutes,none,true
Lateral Lunge,לאנג׳ צידי,legs,Quadriceps,none,true
Lateral Squat,סקוואט צידי,legs,Quadriceps,none,true
Lunge,לאנג׳,legs,Quadriceps,none,true
Lying Knee Raise,הרמת ברכיים בשכיבה,core,Abdominals,none,true
Lying Leg Raise,הרמת רגליים בשכיבה,core,Abdominals,none,true
Lying Neck Curls,כפיפת צוואר בשכיבה,neck,Neck,none,true
Lying Neck Extension,פשיטת צוואר בשכיבה,neck,Neck,none,true
Mountain Climber,מטפסי הרים,full_body,Full Body,none,true
Negative Pull Up,מתח שלילי,back,Lats,none,true
Nordic Hamstrings Curls,כפיפות ברך נורדיות,legs,Hamstrings,none,true
Oblique Crunch,כפיפות בטן אלכסוניות,core,Abdominals,none,true
One Arm Push Up,שכיבת סמיכה ביד אחת,chest,Chest,none,true
Pike Pushup,שכיבות סמיכה פייק,shoulders,Shoulders,none,true
Pilates,פילאטיס,full_body,Full Body,none,true
Pistol Squat,סקוואט אקדח,legs,Quadriceps,none,true
Plank,פלאנק,core,Abdominals,none,true
Plank Pushup,מעבר מפלאנק לשכיבת סמיכה,chest,Chest,none,true
Push Up,שכיבות סמיכה,chest,Chest,none,true
Push Up - Close Grip,שכיבות סמיכה באחיזה צרה,chest,Chest,none,true
Push Up (Weighted),שכיבות סמיכה עם משקל,chest,Chest,none,true
Reverse Crunch,כפיפות בטן הפוכות,core,Abdominals,none,true
Reverse Lunge,לאנג׳ לאחור,legs,Quadriceps,none,true
Reverse Plank,פלאנק הפוך,core,Abdominals,none,true
Ring Dips,מקבילים על טבעות,chest,Chest,none,true
Running,ריצה,cardio,Cardio,none,true
Russian Twist (Bodyweight),פיתולי גו רוסיים במשקל גוף,core,Abdominals,none,true
Scapular Pull Ups,עליות שכמות בתלייה,back,Upper Back,none,true
Shoulder Taps,נגיעות כתף,shoulders,Shoulders,none,true
Side Bend,כפיפת גו לצד,core,Abdominals,none,true
Side Plank,פלאנק צידי,core,Abdominals,none,true
Single Leg Glute Bridge,גשר ישבן על רגל אחת,legs,Glutes,none,true
Single Leg Hip Thrust,היפ תראסט על רגל אחת,legs,Glutes,none,true
Single Leg Standing Calf Raise,עליית עקב בעמידה על רגל אחת,legs,Calves,none,true
Sissy Squat (Weighted),סיסי סקוואט עם משקל,legs,Quadriceps,none,true
Sit Up,עליות בטן,core,Abdominals,none,true
Sit Up (Weighted),עליות בטן עם משקל,core,Abdominals,none,true
Skating,החלקה,cardio,Cardio,none,true
Skiing,סקי,cardio,Cardio,none,true
